CODE,METRO_STATION,METRO_LINE,CENTER,DISTRICT_CODE,DISTRICT_NAME,TYPE,FLOORS,ROOF_TYPE,N_of_RECEDING_FLOORS,N_of_FLOORS_SLOPE,NEW_BUILDING,DB_LOW,DB_HIGHT,PRICE_COMPLETE
389600,Karlovo náměstí,B,1,500089,Praha 2,1,6,3,3,0,0,5,10,30150
394100,Karlovo náměstí,B,1,500089,Praha 2,1,5,1,1,0,0,60,65,N
390900,,,1,500089,Praha 2,1,1,1,0,0,0,35,40,N
4004,,,0,500089,Praha 2,1,1,1,0,0,0,60,65,11680
4033,Jiřího z Poděbrad,A,0,500089,Praha 2,1,1,1,0,0,0,0,5,N
4060,,,0,500089,Praha 2,1,2,1,0,0,0,60,65,14780
390100,I. P. Pavlova,C,1,500089,Praha 2,1,4,1,0,0,0,40,45,15380
391800,Karlovo náměstí,B,1,500089,Praha 2,1,1,3,0,0,0,60,65,15230
3922,,,0,500089,Praha 2,1,2,1,0,0,0,55,60,12840
4075,I. P. Pavlova,C,0,500089,Praha 2,1,6,1,0,0,0,35,40,N
3878,Vyšehrad,C,0,500089,Praha 2,1,3,1,1,0,0,55,60,N
15711,Náměstí Míru,A,0,500089,Praha 2,1,5,1,1,0,0,30,35,19610
4082,Náměstí Míru,A,0,500089,Praha 2,1,2,1,0,0,0,35,40,13010
4096,Jiřího z Poděbrad,A,0,500089,Praha 2,1,6,1,0,0,0,10,15,18000
3926,Smíchovské nádraží,B,0,500089,Praha 2,1,1,1,0,0,0,55,60,N
388600,Karlovo náměstí,B,1,500089,Praha 2,1,5,3,0,0,0,60,65,24230
2861,Hlavní nádraží,C,0,500089,Praha 2,1,4,3,0,1,0,40,45,N
3973,,,0,500089,Praha 2,1,2,1,0,0,0,55,60,N
3979,,,0,500089,Praha 2,1,2,1,0,0,0,40,45,15410
393000,Karlovo náměstí,B,1,500089,Praha 2,1,6,1,0,0,0,60,65,24230
395400,Karlovo náměstí,B,1,500089,Praha 2,1,1,1,0,0,0,60,65,N
4054,Vyšehrad,C,0,500089,Praha 2,1,6,1,0,0,0,5,10,N
4071,,,0,500089,Praha 2,1,1,1,0,0,0,60,65,4980
396200,I. P. Pavlova,C,1,500089,Praha 2,1,2,1,0,0,0,35,40,N
2748,Florenc,B,0,500089,Praha 2,1,5,3,1,0,0,60,65,18000
2864,Hlavní nádraží,C,0,500089,Praha 2,1,4,3,0,1,0,40,45,N
4063,,,0,500089,Praha 2,1,3,1,0,0,0,35,40,5680
4067,,,0,500089,Praha 2,1,1,1,0,0,0,40,45,N
15733,Hlavní nádraží,C,0,500089,Praha 2,1,2,1,1,0,0,45,50,16450
396300,I. P. Pavlova,C,1,500089,Praha 2,1,2,1,0,0,0,5,10,N
4036,Jiřího z Poděbrad,A,0,500089,Praha 2,1,1,1,0,0,0,0,5,19610
393900,Karlovo náměstí,B,1,500089,Praha 2,1,6,1,0,0,0,60,65,N
15740,,,0,500089,Praha 2,1,1,1,0,0,0,60,65,11680
15730,,,0,500089,Praha 2,1,5,1,0,0,0,40,45,N
390200,I. P. Pavlova,C,1,500089,Praha 2,1,8,3,0,0,0,10,15,N
3964,,,0,500089,Praha 2,1,3,1,0,0,0,55,60,12840
4032,Hlavní nádraží,C,0,500089,Praha 2,1,6,1,0,0,0,0,5,22800
390300,I. P. Pavlova,C,1,500089,Praha 2,1,5,1,1,0,0,60,65,15460
4038,Jiřího z Poděbrad,A,0,500089,Praha 2,1,6,1,0,0,0,60,65,19610
391400,Karlovo náměstí,B,1,500089,Praha 2,1,6,3,1,0,0,55,60,15230
3975,,,0,500089,Praha 2,1,4,3,2,0,0,55,60,12840
4005,Vyšehrad,C,0,500089,Praha 2,1,5,1,0,0,0,55,60,N
390501,I. P. Pavlova,C,1,500089,Praha 2,1,8,3,0,0,0,0,5,30150
4045,Jiřího z Poděbrad,A,0,500089,Praha 2,1,6,3,1,0,0,60,65,19610
395300,,,1,500089,Praha 2,1,2,1,1,0,0,35,40,N
390000,I. P. Pavlova,C,1,500089,Praha 2,1,1,1,0,0,0,5,10,N
15200,I. P. Pavlova,C,0,500089,Praha 2,1,6,3,0,0,0,5,10,N
4044,I. P. Pavlova,C,0,500089,Praha 2,1,6,1,1,0,0,0,5,19610
13724,Vyšehrad,C,0,500089,Praha 2,1,5,1,1,0,0,40,45,12840
2856,Jiřího z Poděbrad,A,0,500089,Praha 2,1,2,3,0,0,0,35,40,7200
394000,Karlovo náměstí,B,1,500089,Praha 2,1,4,3,0,0,0,60,65,N
15302,I. P. Pavlova,C,0,500089,Praha 2,1,6,1,1,0,0,15,20,19610
3999,Vyšehrad,C,0,500089,Praha 2,1,1,1,0,0,0,55,60,4980
390800,,,1,500089,Praha 2,1,2,1,0,0,0,10,15,N
3987,Vyšehrad,C,0,500089,Praha 2,1,1,1,0,0,0,60,65,N
15700,Hlavní nádraží,C,0,500089,Praha 2,1,5,3,0,0,0,55,60,20730
4034,I. P. Pavlova,C,0,500089,Praha 2,1,7,3,0,0,0,60,65,16860
4061,,,0,500089,Praha 2,1,4,1,0,0,0,60,65,7810
3869,,,0,500089,Praha 2,1,4,1,1,0,0,55,60,N
2855,Hlavní nádraží,C,0,500089,Praha 2,1,4,3,0,1,0,35,40,N
4053,Vyšehrad,C,0,500089,Praha 2,1,3,1,0,0,0,60,65,11010
